2017-04-06T13:58:29.233Z - info: T046GGDMC usage: 78305019
2017-04-06T13:58:29.235Z - info: T3T9JUKED usage: 2253520
2017-04-06T13:58:29.235Z - info: T02PG39GD usage: 552567598
2017-04-06T13:58:29.268Z - info: SET_NETWORK_STATUS : "online"
2017-04-06T13:58:29.459Z - info: Checking network connection to Slack...
2017-04-06T13:58:29.514Z - info: Bugsnag user: U02RY6D8B
2017-04-06T23:55:08.831Z - info: WebView received redirect request from https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7/ to https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7
2017-04-08T17:24:19.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:25:20.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:26:21.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:27:22.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:28:23.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:29:24.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:30:25.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:31:26.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:32:27.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:33:28.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:34:29.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:35:30.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:36:31.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:37:32.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:38:33.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:39:34.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:40:35.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:41:36.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:42:37.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:43:38.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:44:39.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:45:40.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:46:41.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:47:42.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:48:43.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:49:44.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:50:45.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T17:51:46.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
